Sequence,J-Mean,F-Mean
bike-packing_1,0.415,0.648
bike-packing_2,0.697,0.760
blackswan_1,0.879,0.906
bmx-trees_1,0.318,0.711
bmx-trees_2,0.494,0.625
breakdance_1,0.656,0.679
camel_1,0.745,0.756
car-roundabout_1,0.886,0.772
car-shadow_1,0.822,0.819
cows_1,0.859,0.841
dance-twirl_1,0.548,0.590
dog_1,0.889,0.886
dogs-jump_1,0.455,0.410
dogs-jump_2,0.509,0.461
dogs-jump_3,0.685,0.772
drift-chicane_1,0.611,0.708
drift-straight_1,0.659,0.540
goat_1,0.837,0.835
gold-fish_1,0.752,0.688
gold-fish_2,0.608,0.643
gold-fish_3,0.716,0.690
gold-fish_4,0.760,0.745
gold-fish_5,0.851,0.801
horsejump-high_1,0.665,0.770
horsejump-high_2,0.475,0.692
india_1,0.582,0.500
india_2,0.464,0.433
india_3,0.466,0.400
judo_1,0.667,0.662
judo_2,0.639,0.623
kite-surf_1,0.200,0.149
kite-surf_2,0.000,0.021
kite-surf_3,0.526,0.752
lab-coat_1,0.000,0.000
lab-coat_2,0.000,0.000
lab-coat_3,0.618,0.463
lab-coat_4,0.591,0.442
lab-coat_5,0.466,0.455
libby_1,0.686,0.820
loading_1,0.731,0.651
loading_2,0.349,0.445
loading_3,0.638,0.653
mbike-trick_1,0.518,0.626
mbike-trick_2,0.568,0.612
motocross-jump_1,0.459,0.492
motocross-jump_2,0.700,0.599
paragliding-launch_1,0.722,0.782
paragliding-launch_2,0.400,0.634
paragliding-launch_3,0.024,0.129
parkour_1,0.751,0.807
pigs_1,0.793,0.723
pigs_2,0.514,0.606
pigs_3,0.885,0.792
scooter-black_1,0.100,0.343
scooter-black_2,0.427,0.453
shooting_1,0.470,0.429
shooting_2,0.720,0.599
shooting_3,0.627,0.827
soapbox_1,0.759,0.734
soapbox_2,0.395,0.543
soapbox_3,0.392,0.565
