Sequence,J-Mean,F-Mean
bike-packing_1,0.454,0.669
bike-packing_2,0.722,0.786
blackswan_1,0.891,0.926
bmx-trees_1,0.236,0.616
bmx-trees_2,0.473,0.610
breakdance_1,0.664,0.678
camel_1,0.733,0.752
car-roundabout_1,0.884,0.782
car-shadow_1,0.802,0.794
cows_1,0.854,0.826
dance-twirl_1,0.540,0.606
dog_1,0.898,0.907
dogs-jump_1,0.355,0.325
dogs-jump_2,0.434,0.420
dogs-jump_3,0.579,0.697
drift-chicane_1,0.536,0.612
drift-straight_1,0.619,0.517
goat_1,0.829,0.815
gold-fish_1,0.796,0.766
gold-fish_2,0.651,0.698
gold-fish_3,0.738,0.713
gold-fish_4,0.774,0.759
gold-fish_5,0.866,0.823
horsejump-high_1,0.639,0.713
horsejump-high_2,0.447,0.663
india_1,0.569,0.485
india_2,0.403,0.346
india_3,0.417,0.368
judo_1,0.563,0.613
judo_2,0.451,0.611
kite-surf_1,0.194,0.166
kite-surf_2,0.000,0.011
kite-surf_3,0.559,0.819
lab-coat_1,0.000,0.000
lab-coat_2,0.000,0.000
lab-coat_3,0.410,0.384
lab-coat_4,0.467,0.484
lab-coat_5,0.396,0.397
libby_1,0.708,0.859
loading_1,0.752,0.683
loading_2,0.350,0.504
loading_3,0.638,0.656
mbike-trick_1,0.520,0.649
mbike-trick_2,0.523,0.559
motocross-jump_1,0.438,0.486
motocross-jump_2,0.686,0.616
paragliding-launch_1,0.735,0.799
paragliding-launch_2,0.418,0.701
paragliding-launch_3,0.017,0.119
parkour_1,0.722,0.748
pigs_1,0.760,0.629
pigs_2,0.471,0.530
pigs_3,0.879,0.776
scooter-black_1,0.188,0.411
scooter-black_2,0.380,0.366
shooting_1,0.409,0.382
shooting_2,0.721,0.642
shooting_3,0.578,0.782
soapbox_1,0.753,0.743
soapbox_2,0.347,0.465
soapbox_3,0.277,0.468
