Sequence,J-Mean,F-Mean
bike-packing_1,0.443,0.660
bike-packing_2,0.708,0.761
blackswan_1,0.886,0.913
bmx-trees_1,0.299,0.706
bmx-trees_2,0.460,0.594
breakdance_1,0.648,0.660
camel_1,0.749,0.772
car-roundabout_1,0.871,0.725
car-shadow_1,0.817,0.791
cows_1,0.864,0.853
dance-twirl_1,0.571,0.611
dog_1,0.893,0.899
dogs-jump_1,0.127,0.190
dogs-jump_2,0.327,0.329
dogs-jump_3,0.693,0.787
drift-chicane_1,0.546,0.658
drift-straight_1,0.667,0.542
goat_1,0.840,0.840
gold-fish_1,0.783,0.735
gold-fish_2,0.631,0.686
gold-fish_3,0.748,0.745
gold-fish_4,0.778,0.773
gold-fish_5,0.858,0.783
horsejump-high_1,0.686,0.777
horsejump-high_2,0.445,0.679
india_1,0.572,0.487
india_2,0.463,0.418
india_3,0.413,0.373
judo_1,0.659,0.668
judo_2,0.645,0.634
kite-surf_1,0.195,0.175
kite-surf_2,0.000,0.004
kite-surf_3,0.570,0.829
lab-coat_1,0.000,0.000
lab-coat_2,0.000,0.000
lab-coat_3,0.481,0.413
lab-coat_4,0.554,0.449
lab-coat_5,0.440,0.402
libby_1,0.703,0.855
loading_1,0.704,0.633
loading_2,0.304,0.365
loading_3,0.638,0.660
mbike-trick_1,0.499,0.630
mbike-trick_2,0.574,0.597
motocross-jump_1,0.454,0.488
motocross-jump_2,0.707,0.617
paragliding-launch_1,0.732,0.780
paragliding-launch_2,0.402,0.684
paragliding-launch_3,0.027,0.140
parkour_1,0.775,0.828
pigs_1,0.771,0.681
pigs_2,0.517,0.598
pigs_3,0.891,0.803
scooter-black_1,0.103,0.349
scooter-black_2,0.456,0.436
shooting_1,0.270,0.334
shooting_2,0.588,0.622
shooting_3,0.615,0.815
soapbox_1,0.751,0.735
soapbox_2,0.353,0.463
soapbox_3,0.257,0.463
