Sequence,J-Mean,F-Mean
bike-packing_1,0.472,0.673
bike-packing_2,0.721,0.768
blackswan_1,0.888,0.917
bmx-trees_1,0.219,0.564
bmx-trees_2,0.474,0.597
breakdance_1,0.676,0.697
camel_1,0.726,0.734
car-roundabout_1,0.868,0.734
car-shadow_1,0.836,0.802
cows_1,0.849,0.803
dance-twirl_1,0.455,0.523
dog_1,0.885,0.875
dogs-jump_1,0.210,0.235
dogs-jump_2,0.428,0.344
dogs-jump_3,0.696,0.767
drift-chicane_1,0.560,0.571
drift-straight_1,0.635,0.519
goat_1,0.843,0.841
gold-fish_1,0.734,0.672
gold-fish_2,0.602,0.647
gold-fish_3,0.733,0.700
gold-fish_4,0.759,0.747
gold-fish_5,0.847,0.781
horsejump-high_1,0.662,0.699
horsejump-high_2,0.418,0.620
india_1,0.558,0.459
india_2,0.436,0.377
india_3,0.449,0.410
judo_1,0.553,0.592
judo_2,0.453,0.574
kite-surf_1,0.202,0.122
kite-surf_2,0.000,0.009
kite-surf_3,0.622,0.850
lab-coat_1,0.000,0.000
lab-coat_2,0.000,0.000
lab-coat_3,0.626,0.513
lab-coat_4,0.595,0.499
lab-coat_5,0.528,0.501
libby_1,0.682,0.813
loading_1,0.766,0.690
loading_2,0.361,0.477
loading_3,0.632,0.659
mbike-trick_1,0.507,0.633
mbike-trick_2,0.565,0.597
motocross-jump_1,0.472,0.489
motocross-jump_2,0.671,0.570
paragliding-launch_1,0.721,0.759
paragliding-launch_2,0.396,0.666
paragliding-launch_3,0.025,0.079
parkour_1,0.750,0.774
pigs_1,0.752,0.624
pigs_2,0.506,0.562
pigs_3,0.883,0.785
scooter-black_1,0.085,0.333
scooter-black_2,0.385,0.414
shooting_1,0.490,0.402
shooting_2,0.778,0.670
shooting_3,0.651,0.838
soapbox_1,0.621,0.635
soapbox_2,0.328,0.442
soapbox_3,0.320,0.482
